name,location,address,lon,lat,tags
딸기공장,보람동,세종특별자치시 세종특별자치시 한누리대로 2149,127.287836768478,36.4778134984346,#카페 #세종
발렌시아카페,보람동,세종특별자치시 세종특별자치시 시청대로 115,127.284605317695,36.4790558357959,#카페 #세종
빽다방,다정동,세종특별자치시 세종특별자치시 다정중앙로 53,127.248536204364,36.4952941660896,#카페 #세종
이디야세종시,나성동,세종특별자치시 세종특별자치시 국세청로 32,127.261966640899,36.4864250846512,#카페 #세종
투썸플레이스세종,어진동,세종특별자치시 세종특별자치시 도움8로 91,127.271748770269,36.5041469697027,#카페 #세종
몬스터커피,다정동,세종특별자치시 세종특별자치시 다정중앙로 39,127.248654913885,36.4940232879542,#카페 #세종
엠그로브,도담동,세종특별자치시 세종특별자치시 보듬8로 39,127.263079532908,36.5185037583068,#카페 #세종
빽다방세종용포대평,금남면,세종특별자치시 세종특별자치시 금남면 용포로 86-1,127.281601907631,36.4662484770785,#카페 #세종
쉼,고운동,세종특별자치시 세종특별자치시 마음로 272-9,127.236108175904,36.5191459437526,#카페 #세종
빽다방세종산울마을7단지점,산울동,세종특별자치시 세종특별자치시 산울7로 11,127.264577662565,36.5322339955162,#카페 #세종
메가엠지씨커피세종대평점,대평동,세종특별자치시 세종특별자치시 한누리대로 2236,127.277222867688,36.4740988181959,#카페 #세종
이디야커피세종시고운동점,고운동,세종특별자치시 세종특별자치시 마음로 67,127.232782907289,36.5048241262982,#카페 #세종
언노운,산울동,세종특별자치시 세종특별자치시 산울7로 11,127.264145864812,36.530036144768,#카페 #세종
플러스82,나성동,세종특별자치시 세종특별자치시 한누리대로 331,127.255831106978,36.4939360242435,#카페 #세종
더블리스,반곡동,세종특별자치시 세종특별자치시 한누리대로 1952,127.302547021288,36.4901229614855,#카페 #세종
이디야커피세종시첫,한솔동,세종특별자치시 세종특별자치시 나리1로 15,127.259463993629,36.4788788471821,#카페 #세종
빽다방세종조치원역점,조치원읍,세종특별자치시 세종특별자치시 조치원읍 으뜸길 208,127.297055187678,36.6007977161354,#카페 #세종
오토엠,부강면,세종특별자치시 세종특별자치시 부강면 금강자전거길 13020,127.395742279891,36.4935720213216,#카페 #세종
